[2020-10-26 15:51:17.859177] {'wagonlidOpen': True, 'motorSpeed2': 0, 'motorSpeed1': 20, 'wagonEnd': True, 'tank1': 40, 'valveTank1': False, 'valveSilo1': False, 'wagonStart': False, 'valveSilo2': False, 'tankFinal': 0, 'valve2': False, 'valve1': False, 'wagonCar': 4, 'wagonMoving': False, 'tankCharcoal': 500, 'motor2a': False, 'motor2': False, 'motor1': True, 'valveTankFinal': False, 'silo1': 0, 'silo2': 16, 'valveTankCharcoal': False, 'approvisioning2': 500, 'approvisioning1': 500, 'motor1a': False}, e1:False, es1:False, ew:True, es2:False, rm1:True, rm1a:False, rm1w:4, rm1aw:0, rm2w:0, rm2aw:0 rm2:False, rm2a:False, ef:False

[2020-10-26 15:51:18.869843] {'wagonlidOpen': True, 'motorSpeed2': 0, 'motorSpeed1': 20, 'wagonEnd': True, 'tank1': 40, 'valveTank1': False, 'valveSilo1': False, 'wagonStart': False, 'valveSilo2': False, 'tankFinal': 0, 'valve2': False, 'valve1': False, 'wagonCar': 2, 'wagonMoving': False, 'tankCharcoal': 500, 'motor2a': False, 'motor2': False, 'motor1': True, 'valveTankFinal': False, 'silo1': 0, 'silo2': 18, 'valveTankCharcoal': False, 'approvisioning2': 500, 'approvisioning1': 500, 'motor1a': False}, e1:False, es1:False, ew:True, es2:False, rm1:True, rm1a:False, rm1w:5, rm1aw:0, rm2w:0, rm2aw:0 rm2:False, rm2a:False, ef:False

[2020-10-26 15:51:19.852668] {'wagonlidOpen': True, 'motorSpeed2': 0, 'motorSpeed1': 20, 'wagonEnd': True, 'tank1': 40, 'valveTank1': False, 'valveSilo1': False, 'wagonStart': False, 'valveSilo2': False, 'tankFinal': 0, 'valve2': False, 'valve1': False, 'wagonCar': 0, 'wagonMoving': False, 'tankCharcoal': 500, 'motor2a': False, 'motor2': False, 'motor1': True, 'valveTankFinal': False, 'silo1': 0, 'silo2': 20, 'valveTankCharcoal': False, 'approvisioning2': 500, 'approvisioning1': 500, 'motor1a': False}, e1:False, es1:False, ew:True, es2:False, rm1:True, rm1a:False, rm1w:6, rm1aw:0, rm2w:0, rm2aw:0 rm2:False, rm2a:False, ef:False

[2020-10-26 15:51:20.862755] {'wagonlidOpen': False, 'motorSpeed2': 0, 'motorSpeed1': 20, 'wagonEnd': False, 'tank1': 40, 'valveTank1': False, 'valveSilo1': False, 'wagonStart': True, 'valveSilo2': False, 'tankFinal': 0, 'valve2': False, 'valve1': False, 'wagonCar': 0, 'wagonMoving': False, 'tankCharcoal': 500, 'motor2a': False, 'motor2': False, 'motor1': True, 'valveTankFinal': False, 'silo1': 0, 'silo2': 20, 'valveTankCharcoal': False, 'approvisioning2': 500, 'approvisioning1': 500, 'motor1a': False}, e1:False, es1:False, ew:False, es2:False, rm1:True, rm1a:False, rm1w:7, rm1aw:0, rm2w:0, rm2aw:0 rm2:False, rm2a:False, ef:False

[2020-10-26 15:51:21.876324] {'wagonlidOpen': False, 'motorSpeed2': 0, 'motorSpeed1': 20, 'wagonEnd': False, 'tank1': 40, 'valveTank1': False, 'valveSilo1': False, 'wagonStart': True, 'valveSilo2': False, 'tankFinal': 0, 'valve2': False, 'valve1': False, 'wagonCar': 5, 'wagonMoving': False, 'tankCharcoal': 495, 'motor2a': False, 'motor2': False, 'motor1': True, 'valveTankFinal': False, 'silo1': 0, 'silo2': 20, 'valveTankCharcoal': True, 'approvisioning2': 500, 'approvisioning1': 500, 'motor1a': False}, e1:False, es1:False, ew:False, es2:False, rm1:True, rm1a:False, rm1w:8, rm1aw:0, rm2w:0, rm2aw:0 rm2:False, rm2a:False, ef:False

